time,value
0,4.17959301044451
1,3.707222639456055
2,4.2397253008799405
3,3.1639002089392414
4,3.2389663875130275
5,4.411253112446205
6,4.690590700995054
7,3.2020352900112092
8,5.160577219983635
9,3.397560212271939
10,3.4475448766695225
11,5.472741307609383
12,4.987719752013529
13,-1.316358822460626
14,-12.5320220343845
15,5.3380543907578115
16,6.131007684309672
17,4.801289126876164
18,3.5586025774683785
19,5.881922317968811
20,3.5866663222128885
21,4.6220964591282945
22,3.949458307794881
23,1.993774579377667
24,3.293134871387177
25,4.852706817676259
26,4.898093012460679
27,4.88007024263484
28,4.5485627167302365
29,3.882736964842052
30,3.983834958277056
31,4.889368302506764
32,3.9012777146205675
33,3.885115080081855
34,5.067654505015906
35,4.385608946460777
36,4.296061808592136
37,3.2938361792668522
38,4.761510934865206
39,4.9994600377059175
40,4.668053024124813
41,4.665006559169372
42,3.737914162864517
43,6.204696462796358
44,5.042751491871038
45,3.3622468016333644
46,4.902351758738522
47,5.007128503843127
48,0.35013207884419284
49,0.628513853919241
50,4.248171949179233
51,4.266241451887584
52,4.965967188162889
53,4.881829841747155
54,5.015344412791854
55,5.3494206832953894
56,4.6641501549478575
57,2.3405242587614197
58,4.154907739968112
59,3.9730848470442286
60,4.616877173171987
61,3.596230041026815
62,5.014469001246
63,4.423200004119867
64,3.1515120423561944
65,5.626161478573095
66,4.980237324169375
67,4.163711592698955
68,3.7280125088588294
69,3.7323450524058344
70,4.66767187204583
71,5.68748451577976
72,5.016874661612556
73,4.936269909571996
74,3.867698574313931
75,4.336187694639449
76,4.400029109299707
77,4.603666891402321
78,5.07467564774133
79,4.235687516532451
80,4.298279527673896
81,4.977366949924263
82,3.653238335833688
83,4.577019158854975
84,4.429723719579767
85,3.4471536119949517
86,3.7685709654911257
87,3.8914022854240757
88,3.9409538126703287
89,3.7386006334981596
90,3.3653560848754753
91,4.05403300704813
92,4.593818530916255
93,4.665952969293796
94,4.936436565768338
95,3.8303725397276844
96,4.427656273662785
97,4.522841999620559
98,4.659701433814843
99,4.882629074606431
100,9.689078419886552
101,5.2263423438455066
102,3.1970800138960604
103,3.3390018194080913
104,3.5858727227080847
105,4.370311587611647
106,5.466403439131202
107,4.525518436453381
108,4.436626162401855
109,4.676195933114087
110,4.391711145244559
111,3.809877556043337
112,5.811366468374603
113,5.690672788926024
114,5.3203549038825075
115,3.060679913302898
116,4.865768930806866
117,3.639867077608242
118,4.70675998963734
119,4.979238979045428
120,4.021715576532355
121,4.0590192092280395
122,4.789265371336155
123,4.312439346310532
124,5.25379047802827
125,5.297462301823517
126,4.485959311283405
127,3.8113266909813897
128,2.911536902679218
129,3.8512148585070647
130,3.6693788009020833
131,4.168459157750088
132,4.863371588707118
133,4.6344912999402945
134,3.676530605183169
135,5.015450878425695
136,5.054817156959982
137,4.423772491395561
138,5.956979954266776
139,4.659944033924392
140,4.7171297275426385
141,2.0303649156752295
142,4.656822196026152
143,3.2318759818508047
144,6.970350083680998
145,5.694078032186028
146,4.622191395260034
147,4.80926526399691
148,3.8849365181750977
149,4.700295636569482
150,4.39449555550451
151,3.766780240277871
152,3.8416808461704073
153,3.5497929223183005
154,3.5815134139904825
155,4.625943951863117
156,4.758126748578998
157,4.789152434115502
158,4.8665325183396195
159,6.299497189841018
160,5.643093605101561
161,4.700526303742726
162,4.153067691910752
163,5.165888797388444
164,2.863431387359918
165,5.215608253644806
166,4.422612066610169
167,4.4867508566881895
168,4.408622305290963
169,4.912181022463599
170,3.193280069526395
171,3.7884730010594265
172,-0.9694269572567493
173,4.1395190650516565
174,4.619044965581265
175,4.228490788306038
176,5.673226918448455
177,4.997974925492385
178,4.931602329372791
179,4.12512641326063
180,3.1781748569341746
181,6.127107921474225
182,7.617401793924273
183,5.517729020735478
184,4.916580810748782
185,4.928397575440275
186,3.281956509612383
187,4.665436328074177
188,2.644767871437534
189,3.3888571763103257
190,5.115544701682092
191,4.372996984447494
192,5.7540596450793675
193,3.168905319358981
194,3.335541352563573
195,4.600259651672315
196,5.266888426088505
197,5.923727924797644
198,4.400700694446199
199,5.337136418704901
200,5.505877205853524
201,4.528044894575372
202,4.700434478196927
203,4.229974289359267
204,5.0209134606724
205,4.573132786668111
206,4.203301047606366
207,5.310877053782972
208,5.536477587925394
209,4.597033594062798
210,4.819531959491848
211,3.0479285882603557
212,4.04482698669839
213,4.75217807301642
214,4.322156386395728
215,4.215422493639693
216,5.819250779104801
217,4.3669039619536685
218,3.346006874560438
219,3.5911772544837675
220,4.6626435874002645
221,5.587162178381957
222,4.564307691146539
223,4.381152246561809
224,3.8986910948586218
225,4.918320025072161
226,4.394562112674807
227,4.439159179459415
228,5.482381425583425
229,6.034815055145431
230,1.471273385325715
231,4.093632295984473
232,4.746251780171744
233,2.8051984968332584
234,4.265219931972716
235,4.776125980202441
236,4.630400727905232
237,5.210358906210232
238,5.164608638899255
239,3.411590726869642
